"Symbol","ENSG","trt","untrt","baseMean","log2FoldChange","pvalue","padj","Entrez"
"PRPF3","ENSG00000117360",9.427,9.409,9.418,3.326,2.541e-24,1.28e-21,"9129"
"GNPTG","ENSG00000090581",10.388,10.532,10.46,-1.246,3.624e-24,1.776e-21,"84572"
"MT-TQ","ENSG00000210107",6.518,6.467,6.492,2.164,1.921e-23,9.158e-21,""
"ADCY7","ENSG00000121281",8.484,8.481,8.483,2.139,2.239e-23,1.039e-20,"113"
"KLF8","ENSG00000102349",7.725,7.676,7.701,1.629,3.294e-23,1.489e-20,"11279"
"EYA4","ENSG00000112319",9.281,9.748,9.515,2.687,6.309e-23,2.782e-20,"2070"
"ZNF283","ENSG00000167637",7.846,8.014,7.93,-2.761,7.075e-23,3.043e-20,"284349"
"NRBF2P5","ENSG00000270427",6.274,6.277,6.276,3.782,7.861e-23,3.301e-20,""
"ANKRD13D","ENSG00000172932",8.917,8.837,8.877,-0.946,1.858e-22,7.621e-20,"338692"
"SPTY2D1OS","ENSG00000247595",6.872,6.649,6.76,2.338,2.73e-22,1.094e-19,"100506540"
"LYN","ENSG00000254087",8.206,7.838,8.022,-1.262,3.618e-22,1.418e-19,"4067"
"GNRH1","ENSG00000147437",7.895,7.595,7.745,-1.063,4.486e-22,1.72e-19,"2796"
"RECK","ENSG00000122707",13.342,13.585,13.464,0.85,6.085e-22,2.283e-19,"8434"
"CSMD2","ENSG00000121904",10.071,9.766,9.918,1.212,1.09e-21,4.006e-19,"114784"
"NPTX1","ENSG00000171246",6.692,6.894,6.793,-1.91,1.207e-21,4.343e-19,"4884"
"HMGN2P17","ENSG00000238249",6.615,6.505,6.56,1.091,2.107e-21,7.431e-19,""
"AC144548.1","ENSG00000258210",6.586,6.639,6.613,0.963,2.81e-21,9.717e-19,""
"PLP1","ENSG00000123560",6.57,6.69,6.63,2.274,4.441e-21,1.506e-18,"5354"
"LATS2","ENSG00000150457",11.363,11.216,11.289,-1.978,6.058e-21,2.016e-18,"26524"
"PROX2","ENSG00000119608",6.774,6.784,6.779,1.022,7.323e-21,2.392e-18,"283571"
"SLC25A23","ENSG00000125648",10.704,10.733,10.719,2.17,1.115e-20,3.576e-18,"79085"
"RAB17","ENSG00000124839",6.644,6.437,6.541,3.366,2.019e-20,6.358e-18,"64284"
"LTBP2","ENSG00000119681",14.755,14.956,14.855,-2.341,2.815e-20,8.709e-18,"4053"
"NDUFAF4P3","ENSG00000236411",6.285,6.446,6.366,2.491,4.265e-20,1.297e-17,""
"CCDC162P","ENSG00000203799",6.745,6.645,6.695,2.035,6.675e-20,1.995e-17,"221262"
"SEC31A","ENSG00000138674",13.036,13.233,13.134,1.271,1.334e-19,3.922e-17,"22872"
"LMAN1","ENSG00000074695",11.815,12.035,11.925,1.517,1.927e-19,5.571e-17,"3998"
"ZNF416","ENSG00000083817",7.669,7.852,7.761,1.14,2.287e-19,6.506e-17,"55659"
"CASC2","ENSG00000177640",7.303,7.263,7.283,1.602,3.222e-19,8.879e-17,"255082"
"C22orf42","ENSG00000205856",6.289,6.31,6.299,-0.967,3.181e-19,8.879e-17,"150297"
"MASP1","ENSG00000127241",12.809,13.067,12.938,1.472,3.864e-19,1.049e-16,"5648"
"NAV2-AS1","ENSG00000254894",6.619,6.361,6.49,-1.702,4.094e-19,1.094e-16,""
"TOMM34","ENSG00000025772",9.574,9.971,9.773,1.06,5.102e-19,1.343e-16,"10953"
"AC005479.1","ENSG00000259005",6.27,6.297,6.283,-1.184,8.047e-19,2.087e-16,""
"SLIT3","ENSG00000184347",13.888,13.988,13.938,2.168,8.257e-19,2.111e-16,"6586"
"MST1","ENSG00000173531",8.724,8.765,8.745,1.375,9.778e-19,2.464e-16,"4485"
"KLHL30","ENSG00000168427",6.918,6.727,6.823,3.765,1.424e-18,3.538e-16,"377007"
"FUBP1","ENSG00000162613",10.619,10.564,10.591,-1.095,1.506e-18,3.689e-16,"8880"
"AIMP1","ENSG00000164022",9.897,9.904,9.901,-1.191,1.605e-18,3.878e-16,"9255"
"AJ009632.2","ENSG00000229425",6.698,6.707,6.702,9.61,2.052e-18,4.891e-16,"105369302"
"ADAMTS5","ENSG00000154736",12.567,10.387,11.477,1.178,2.39e-18,5.619e-16,"11096"
"CDX1","ENSG00000113722",6.732,6.817,6.774,5.926,3.952e-18,9.172e-16,"1044"
"AC140479.2","ENSG00000230650",6.346,6.298,6.322,2.205,4.249e-18,9.733e-16,""
"PLEKHA8","ENSG00000106086",9.456,8.95,9.203,-1.688,4.441e-18,1.004e-15,"84725"
"SESN1","ENSG00000080546",9.621,9.866,9.743,1.999,6.128e-18,1.368e-15,"27244"
"AL355490.2","ENSG00000231970",6.294,6.318,6.306,2.288,6.327e-18,1.395e-15,""
"SPECC1L-ADORA2A","ENSG00000258555",7.13,6.967,7.048,1.478,6.999e-18,1.524e-15,"101730217"
"AC007405.1","ENSG00000234350",6.624,6.774,6.699,1.079,1.117e-17,2.403e-15,""
"CARS2","ENSG00000134905",10.132,9.788,9.96,-2.154,1.453e-17,3.087e-15,"79587"
"SEC23B","ENSG00000101310",9.281,9.32,9.3,1.374,1.704e-17,3.579e-15,"10483"
"AEBP1","ENSG00000106624",13.423,13.58,13.501,1.506,1.991e-17,4.132e-15,"165"
"DZIP1L","ENSG00000158163",8.182,8.004,8.093,2.433,2.46e-17,5.046e-15,"199221"
"STX6","ENSG00000135823",10.349,9.919,10.134,2.242,3.063e-17,6.21e-15,"10228"
"REPIN1","ENSG00000214022",9.984,9.996,9.99,-0.787,3.943e-17,7.902e-15,"29803"
"STIM2","ENSG00000109689",9.778,10.657,10.217,0.979,4.388e-17,8.696e-15,"57620"
"LOX","ENSG00000113083",13.946,13.574,13.76,1.117,4.844e-17,9.492e-15,"4015"
"SPIN3","ENSG00000204271",8.782,8.885,8.833,1.998,5.655e-17,1.096e-14,"169981"
"XIST","ENSG00000229807",7.988,7.961,7.975,1.354,6.713e-17,1.287e-14,"7503"
"SMAD9","ENSG00000120693",9.08,9.201,9.14,1.477,7.279e-17,1.38e-14,"4093"
"CEL","ENSG00000170835",6.886,6.939,6.913,2.314,9.914e-17,1.86e-14,"1056"
"LIPC-AS1","ENSG00000259293",6.255,6.357,6.306,1.271,1.185e-16,2.2e-14,"101928694"
"C11orf94","ENSG00000234776",6.49,6.456,6.473,0.946,2.051e-16,3.767e-14,"143678"
"GUCY1B1","ENSG00000061918",10.697,10.78,10.738,0.825,2.146e-16,3.903e-14,"2983"
"CCDC13","ENSG00000244607",7.047,6.838,6.943,2.462,2.31e-16,4.158e-14,"152206"
"AC005838.2","ENSG00000266538",6.419,6.271,6.345,-2.001,4.623e-16,8.236e-14,""
"AL157871.2","ENSG00000258521",6.196,6.452,6.324,-4.57,5.235e-16,9.233e-14,""
"OSR2","ENSG00000164920",11.74,12.497,12.119,-1.171,1.001e-15,1.749e-13,"116039"
"RPL35A","ENSG00000182899",12.441,12.432,12.436,0.901,1.064e-15,1.839e-13,"6165"
"MCRIP2","ENSG00000172366",7.836,7.818,7.827,3.822,1.095e-15,1.875e-13,"100287175"
"CLK3","ENSG00000179335",9.868,9.876,9.872,3.805,1.321e-15,2.24e-13,"1198"
"AC126283.2","ENSG00000285330",7.06,6.949,7.004,0.768,1.455e-15,2.444e-13,""
"APOL4","ENSG00000100336",7.533,7.612,7.572,-2.581,1.475e-15,2.453e-13,"80832"
"OARD1","ENSG00000124596",8.952,8.843,8.898,0.715,1.534e-15,2.528e-13,"221443"
"PDXK","ENSG00000160209",11.124,11.002,11.063,1.983,1.704e-15,2.783e-13,"105372824"
"RPL19","ENSG00000108298",14.074,14.136,14.105,-2.399,1.798e-15,2.909e-13,"6143"
"NUCKS1","ENSG00000069275",12.333,12.686,12.509,1.098,2.263e-15,3.628e-13,"64710"
"OSGEPL1","ENSG00000128694",7.676,7.912,7.794,1.549,2.321e-15,3.688e-13,"64172"
"JPT2","ENSG00000206053",9.366,9.409,9.387,-1.664,3.213e-15,5.06e-13,"90861"
"PDE6A","ENSG00000132915",6.594,6.692,6.643,1.491,3.375e-15,5.268e-13,"5145"
"FAM234B","ENSG00000084444",8.804,8.447,8.625,1.282,3.551e-15,5.494e-13,"57613"
"ZNF566","ENSG00000186017",7.992,8.254,8.123,-2.686,4.492e-15,6.889e-13,"84924"
"ANAPC1P1","ENSG00000233673",6.22,6.309,6.265,-0.669,5.104e-15,7.76e-13,"100286979"
"ZC4H2","ENSG00000126970",8.101,8.447,8.274,1.331,5.453e-15,8.22e-13,"55906"
"EPX","ENSG00000121053",6.397,6.38,6.388,1.939,6.155e-15,9.199e-13,"8288"
"TREX1","ENSG00000213689",7.727,7.878,7.803,-2.596,7.299e-15,1.082e-12,"11277"
"HCG23","ENSG00000225914",8.086,8.15,8.118,1.031,8.1e-15,1.19e-12,"101929163"
"NAV2","ENSG00000166833",11.507,11.752,11.63,1.183,8.715e-15,1.27e-12,"89797"
"OTUB2","ENSG00000089723",7.192,7.4,7.296,2.026,1.584e-14,2.29e-12,"78990"
"GRM5-AS1","ENSG00000255082",6.304,6.421,6.362,0.678,1.614e-14,2.314e-12,"100873989"
"LARS","ENSG00000133706",10.935,10.965,10.95,1.122,1.71e-14,2.433e-12,"51520"
"AKR1E2","ENSG00000165568",6.911,6.928,6.92,1.458,1.967e-14,2.775e-12,"83592"
"BMPER","ENSG00000164619",8.637,9.882,9.259,0.729,2.535e-14,3.548e-12,"168667"
"AC008567.1","ENSG00000260112",6.344,6.299,6.321,0.689,3.32e-14,4.575e-12,""
"AEBP2","ENSG00000139154",9.557,9.83,9.694,0.616,3.298e-14,4.575e-12,"121536"
"FAM87A","ENSG00000182366",6.293,6.311,6.302,1.189,3.444e-14,4.708e-12,"157693"
"TUBGCP6","ENSG00000128159",10.422,10.165,10.294,0.748,3.981e-14,5.402e-12,"85378"
"FAM208B","ENSG00000108021",10.408,10.535,10.471,-1.115,4.845e-14,6.524e-12,"54906"
"KIAA0408","ENSG00000189367",8.839,7.969,8.404,1.236,7.249e-14,9.686e-12,"9729"
"ADSSL1","ENSG00000185100",7.84,8.245,8.043,0.768,8.473e-14,1.124e-11,"122622"
"RAB8B","ENSG00000166128",11.361,11.411,11.386,1.922,8.603e-14,1.132e-11,"51762"
"SNRPD3","ENSG00000100028",9.74,9.871,9.806,1.206,1.072e-13,1.401e-11,"6634"
"DCAF4","ENSG00000119599",8.155,8.387,8.271,1.563,1.08e-13,1.401e-11,"26094"
"ZNF117","ENSG00000152926",8.895,9.383,9.139,0.878,1.422e-13,1.83e-11,"109504726"
"GINM1","ENSG00000055211",11.418,11.143,11.281,1.064,1.52e-13,1.943e-11,"116254"
"CUL9","ENSG00000112659",9.578,9.754,9.666,1.515,1.576e-13,2e-11,"23113"
"HOOK3","ENSG00000168172",10.73,10.464,10.597,2.717,1.868e-13,2.353e-11,"84376"
"P2RX5-TAX1BP3","ENSG00000257950",7.196,7.065,7.13,1.122,1.963e-13,2.456e-11,"100533970"
"N4BP2L2","ENSG00000244754",10.715,10.756,10.736,-2.484,2.195e-13,2.727e-11,"10443"
"AMIGO2","ENSG00000139211",8.556,8.313,8.435,-1.576,2.955e-13,3.645e-11,"347902"
"AMN1","ENSG00000151743",7.251,7.525,7.388,0.686,4.638e-13,5.681e-11,"196394"
"CAVIN1","ENSG00000177469",14.544,13.879,14.212,-0.689,4.793e-13,5.83e-11,"284119"
"AHCTF1P1","ENSG00000226121",6.864,6.455,6.659,1.672,5.934e-13,7.169e-11,"285116"
"THSD1","ENSG00000136114",7.928,7.783,7.856,3.955,6.528e-13,7.833e-11,"55901"
"FCHO1","ENSG00000130475",6.71,6.932,6.821,-1.864,6.849e-13,8.162e-11,"23149"
"TMEM217","ENSG00000172738",6.976,7.547,7.262,0.794,8.009e-13,9.48e-11,"221468"
"AC022613.2","ENSG00000259523",6.731,6.715,6.723,-5.295,8.712e-13,1.024e-10,""
"ADAMTS4","ENSG00000158859",7.562,7.492,7.527,-2.157,9.402e-13,1.098e-10,"9507"
"LINC00680-GUSBP4","ENSG00000283352",7.11,7.342,7.226,1.633,9.67e-13,1.122e-10,"106660613"
"RF00019","ENSG00000207231",6.255,6.26,6.258,-0.802,9.801e-13,1.13e-10,""
"EEF1AKMT3","ENSG00000123427",8.107,8.138,8.123,1.24,1.003e-12,1.149e-10,"25895"
"RTL3","ENSG00000179300",7.901,6.708,7.304,0.699,1.117e-12,1.271e-10,"203430"
"AC026803.1","ENSG00000260366",6.447,6.473,6.46,-1.162,1.227e-12,1.387e-10,""
"INTS6","ENSG00000102786",9.67,9.589,9.63,0.809,1.314e-12,1.476e-10,"26512"
"RALY","ENSG00000125970",10.864,11.259,11.062,0.79,1.413e-12,1.578e-10,"22913"
"AC007953.1","ENSG00000225790",6.689,6.426,6.557,-0.597,1.521e-12,1.687e-10,""
"RNPEP","ENSG00000176393",10.527,10.715,10.621,1.103,1.599e-12,1.763e-10,"6051"
"UBXN2B","ENSG00000215114",9.096,9.307,9.201,1.296,1.699e-12,1.861e-10,"137886"
"HVCN1","ENSG00000122986",7.63,7.637,7.633,1.147,1.955e-12,2.129e-10,"84329"
"FLJ37035","ENSG00000224023",6.745,7.033,6.889,-1.059,1.979e-12,2.141e-10,"399821"
"FBXL20","ENSG00000108306",9.253,9.477,9.365,3.677,2.472e-12,2.659e-10,"84961"
"ARRDC4","ENSG00000140450",10.102,10.74,10.421,1.606,2.763e-12,2.935e-10,"91947"
"LIG3","ENSG00000005156",8.509,8.801,8.655,1.285,2.757e-12,2.935e-10,"3980"
"SLAMF8","ENSG00000158714",6.57,6.16,6.365,2.08,3.044e-12,3.215e-10,"56833"
"AC020915.3","ENSG00000268516",7.355,7.413,7.384,1.016,3.188e-12,3.346e-10,"105372482"
"SLFN11","ENSG00000172716",10.184,10.284,10.234,-1.703,3.373e-12,3.52e-10,"91607"
"AC020765.2","ENSG00000275441",6.26,6.336,6.298,-1.205,3.401e-12,3.529e-10,""
"KDM5B","ENSG00000117139",11.004,11.159,11.082,-1.097,3.891e-12,4.013e-10,"10765"
"SNX19","ENSG00000120451",11.758,11.729,11.743,1.246,4.404e-12,4.516e-10,"399979"
"AC080188.1","ENSG00000249609",6.443,6.361,6.402,0.737,4.562e-12,4.651e-10,""
"ITPRIPL1","ENSG00000198885",7.408,7.351,7.38,-1.225,4.896e-12,4.962e-10,"150771"
"RGPD2","ENSG00000185304",7.714,7.744,7.729,-1.126,5.075e-12,5.115e-10,"729857"
"GNA13","ENSG00000120063",10.375,10.289,10.332,1.906,5.189e-12,5.2e-10,"10672"
"HS3ST3A1","ENSG00000153976",8.153,7.965,8.059,-2.442,5.338e-12,5.319e-10,"9955"
"CSPG5","ENSG00000114646",6.297,6.414,6.356,4.898,6.102e-12,6.046e-10,"10675"
"HSPA12B","ENSG00000132622",6.951,7.801,7.376,1.044,6.252e-12,6.16e-10,"116835"
"NDN","ENSG00000182636",10.551,10.689,10.62,0.812,6.91e-12,6.733e-10,"4692"
"SLC9A3","ENSG00000066230",7.609,7.807,7.708,1.033,6.896e-12,6.733e-10,"6550"
"KIAA1614","ENSG00000135835",9.311,9.265,9.288,-0.739,7.358e-12,7.131e-10,"57710"
"VIT","ENSG00000205221",8.335,8.115,8.225,-1.077,7.618e-12,7.342e-10,"5212"
"TM2D1","ENSG00000162604",10.129,9.617,9.873,0.977,7.804e-12,7.44e-10,"83941"
"VIPR2","ENSG00000106018",6.758,6.541,6.649,-1.288,7.762e-12,7.44e-10,"7434"
"EMC9","ENSG00000100908",7.651,7.66,7.655,1.216,8.079e-12,7.66e-10,"51016"
"DKKL1","ENSG00000104901",6.413,6.5,6.457,1.065,9.406e-12,8.872e-10,"27120"
"ACTB","ENSG00000075624",16.757,15.854,16.306,-2.2,9.461e-12,8.876e-10,"60"
"GNL2","ENSG00000134697",10.329,9.889,10.109,1.03,9.855e-12,9.197e-10,"29889"
"PPP4R3A","ENSG00000100796",10.18,10.28,10.23,1.06,1.043e-11,9.683e-10,"55671"
"AC067852.4","ENSG00000280183",6.297,6.247,6.272,0.705,1.16e-11,1.071e-09,""
"LINC01814","ENSG00000236008",7.437,7.382,7.409,-1.01,1.3e-11,1.194e-09,"101929567"
"CALD1","ENSG00000122786",14.775,14.055,14.415,1.745,1.37e-11,1.252e-09,"800"
"AC055713.1","ENSG00000247373",7.518,7.623,7.571,1.281,1.632e-11,1.484e-09,""
"FUZ","ENSG00000010361",8.565,8.414,8.489,2.245,1.65e-11,1.493e-09,"80199"
"DOCK10","ENSG00000135905",9.403,9.257,9.33,1.389,1.841e-11,1.657e-09,"55619"
"TRIP11","ENSG00000100815",10.541,10.676,10.609,1.624,1.939e-11,1.736e-09,"9321"
"RPLP0P2","ENSG00000243742",6.711,7.267,6.989,0.989,2.137e-11,1.903e-09,"113157"
"SLC8B1","ENSG00000089060",10.223,9.778,10.001,0.716,2.187e-11,1.929e-09,"80024"
"COPB1","ENSG00000129083",12.213,12.025,12.119,0.969,2.18e-11,1.929e-09,"1315"
"GRIP1","ENSG00000155974",6.526,6.475,6.501,1.041,2.234e-11,1.961e-09,"23426"
"TMEM130","ENSG00000166448",8.205,8.584,8.394,0.738,2.449e-11,2.138e-09,"222865"
"HIC1","ENSG00000177374",9.876,9.968,9.922,1.002,2.974e-11,2.563e-09,"3090"
"AL049779.1","ENSG00000258466",6.283,6.324,6.303,-1.02,2.993e-11,2.563e-09,""
"LHPP","ENSG00000107902",8.348,8.57,8.459,1.374,2.986e-11,2.563e-09,"64077"
"AL451074.4","ENSG00000230175",6.204,6.299,6.251,-1.334,2.993e-11,2.563e-09,""
"SLC39A7","ENSG00000112473",11.552,11.772,11.662,-0.904,3.114e-11,2.653e-09,"7922"
"AL390195.2","ENSG00000260948",7.234,7.085,7.16,-1.951,3.526e-11,2.99e-09,""
"AC142086.5","ENSG00000261259",6.205,6.39,6.298,0.93,4.023e-11,3.387e-09,""
"UNC5C","ENSG00000182168",6.753,6.849,6.801,1.422,4.033e-11,3.387e-09,"8633"
"PTPRF","ENSG00000142949",11.015,11.237,11.126,-1.868,4.338e-11,3.626e-09,"5792"
"C12orf65","ENSG00000130921",8.696,8.956,8.826,-1.461,5.024e-11,4.18e-09,"91574"
"TXNDC12","ENSG00000117862",9.98,9.785,9.882,0.728,5.304e-11,4.392e-09,"51060"
"NKAPL","ENSG00000189134",6.928,6.885,6.906,1.183,5.54e-11,4.566e-09,"222698"
"DNAL4","ENSG00000100246",8.538,8.587,8.562,-3.12,5.933e-11,4.867e-09,"10126"
"PIP5K1B","ENSG00000107242",6.32,6.241,6.28,1.177,7.835e-11,6.368e-09,"8395"
"PDZD8","ENSG00000165650",10.29,10.265,10.278,-2.623,7.833e-11,6.368e-09,"118987"
"ZNF219","ENSG00000165804",9.713,9.781,9.747,-1.099,7.925e-11,6.412e-09,"51222"
"AC005486.1","ENSG00000243018",6.269,6.299,6.284,-2.977,8.046e-11,6.479e-09,""
"SAMD13","ENSG00000203943",6.662,6.97,6.816,-0.586,8.137e-11,6.523e-09,"148418"
"AC018665.1","ENSG00000279382",7.074,7.325,7.2,-0.968,8.478e-11,6.766e-09,""
"MCEE","ENSG00000124370",7.968,8.201,8.084,2.728,8.929e-11,7.093e-09,"84693"
"LTBR","ENSG00000111321",11.749,11.546,11.648,0.804,9.412e-11,7.444e-09,"4055"
"GM2A","ENSG00000196743",10.792,10.473,10.633,1.038,9.809e-11,7.689e-09,"2760"
"RF00019","ENSG00000252412",6.32,6.265,6.292,1.133,9.796e-11,7.689e-09,""
"CFAP97D1","ENSG00000231256",6.538,6.658,6.598,-1.164,1.021e-10,7.97e-09,"284067"
"AC116351.2","ENSG00000272347",6.559,6.342,6.451,1.079,1.054e-10,8.186e-09,""
"GSTM5","ENSG00000134201",8.769,9.209,8.989,1.265,1.115e-10,8.581e-09,"2949"
"L3HYPDH","ENSG00000126790",9.388,9.166,9.277,1.262,1.119e-10,8.581e-09,"112849"
"IL1R2","ENSG00000115590",6.487,6.329,6.408,1.723,1.112e-10,8.581e-09,"7850"
"EPS8","ENSG00000151491",11.094,10.548,10.821,0.65,1.159e-10,8.847e-09,"2059"
"AC020634.1","ENSG00000273123",6.377,6.277,6.327,2.665,1.2e-10,9.124e-09,""
"GPR4","ENSG00000177464",6.966,7.087,7.026,-1.68,1.43e-10,1.082e-08,"2828"
"NOC2L","ENSG00000188976",10.275,10.14,10.208,2.12,1.563e-10,1.178e-08,"26155"
"TBCE","ENSG00000284770",9.438,9.495,9.467,-1.813,1.659e-10,1.245e-08,"6905"
"LMNB2","ENSG00000176619",10.335,10.196,10.266,0.964,1.698e-10,1.269e-08,"84823"
"PI16","ENSG00000164530",7.177,7.838,7.508,1.01,1.772e-10,1.319e-08,"221476"
"GPR180","ENSG00000152749",8.728,8.619,8.673,1.661,1.805e-10,1.338e-08,"160897"
"SSBP4","ENSG00000130511",9.458,9.75,9.604,1.043,1.959e-10,1.446e-08,"170463"
"CROT","ENSG00000005469",8.99,9.172,9.081,0.737,1.991e-10,1.463e-08,"54677"
"PLA1A","ENSG00000144837",6.909,7.142,7.025,1.043,2.181e-10,1.596e-08,"51365"
"SUN2","ENSG00000100242",12.504,10.889,11.697,-1.18,2.506e-10,1.804e-08,"25777"
"SNHG17","ENSG00000196756",8.051,7.783,7.917,1.204,2.497e-10,1.804e-08,"388796"
"PANK1","ENSG00000152782",7.63,7.813,7.722,0.812,2.479e-10,1.804e-08,"53354"
"IFITM10","ENSG00000244242",7.02,6.978,6.999,1.071,2.485e-10,1.804e-08,"402778"
"TROVE2","ENSG00000116747",9.961,9.83,9.895,-1.434,2.539e-10,1.821e-08,"6738"
"ANKRD36BP1","ENSG00000214262",6.63,6.442,6.536,0.774,2.614e-10,1.866e-08,"84832"
"AL160269.1","ENSG00000285269",6.786,6.566,6.676,-1.94,2.694e-10,1.916e-08,"11046"
"METTL21EP","ENSG00000250878",6.411,6.403,6.407,0.508,2.708e-10,1.918e-08,"121952"
"AP002360.2","ENSG00000271757",6.273,6.279,6.276,-1.711,2.999e-10,2.116e-08,""
"WFDC21P","ENSG00000261040",7.224,7.474,7.349,1.771,3.016e-10,2.119e-08,"645638"
"AP001453.1","ENSG00000256116",6.574,6.741,6.657,0.836,3.116e-10,2.181e-08,""
"CENPB","ENSG00000125817",11.012,10.889,10.951,-0.562,3.178e-10,2.216e-08,"1059"
"ANKRD28","ENSG00000206560",12.624,12.066,12.345,-2.055,3.355e-10,2.329e-08,"23243"
"ZNF180","ENSG00000167384",7.864,8.046,7.955,1.428,3.506e-10,2.425e-08,"7733"
"CLIC4","ENSG00000169504",14.431,13.635,14.033,0.636,3.75e-10,2.584e-08,"25932"
"AP003068.4","ENSG00000278952",6.324,6.28,6.302,-0.921,3.962e-10,2.719e-08,""
"STEAP3","ENSG00000115107",8.628,8.856,8.742,1.198,4.449e-10,3.041e-08,"55240"
"SOX13","ENSG00000143842",8.344,8.221,8.282,-1.97,4.569e-10,3.112e-08,"9580"
"NOC3L","ENSG00000173145",8.939,8.878,8.909,-0.878,4.778e-10,3.241e-08,"64318"
"SPDYE18","ENSG00000205482",6.504,6.601,6.553,7.273,4.878e-10,3.296e-08,"100505767"
"SPRN","ENSG00000203772",7.678,7.525,7.602,0.731,5.086e-10,3.424e-08,"503542"
"AC005104.1","ENSG00000223374",6.523,6.45,6.487,0.71,5.203e-10,3.489e-08,""
"AC069287.2","ENSG00000254559",6.84,6.762,6.801,0.862,5.228e-10,3.493e-08,""
"AIDA","ENSG00000186063",12.143,11.759,11.951,1.151,5.53e-10,3.681e-08,"64853"
"RENBP","ENSG00000102032",6.915,6.899,6.907,1.214,6.463e-10,4.285e-08,"5973"
"C17orf53","ENSG00000125319",7.008,6.994,7.001,-1.318,6.8e-10,4.492e-08,"78995"
"AC007318.1","ENSG00000172974",6.406,6.238,6.322,2.075,7.013e-10,4.615e-08,""
"PTPDC1","ENSG00000158079",9.076,8.391,8.733,1.148,7.341e-10,4.813e-08,"138639"
"AC018557.2","ENSG00000260558",6.445,6.396,6.42,1.367,7.565e-10,4.942e-08,""
"KIAA1217","ENSG00000120549",7.101,7.466,7.284,4.06,7.948e-10,5.172e-08,"56243"
